id,reporter_id,reporter_reputation,region_name,coast_split,hazard_type,severity,description,text_lang,latitude,longitude,gps_accuracy,device_timestamp,server_timestamp,time_delta_sec,exif_valid,exif_lat,exif_lng,media_url,media_hash,wave_height_m,wind_speed_kmh,ground_truth
rep_0012,usr_024,0.6,"Mumbai, Maharashtra",west,flood,Severe,समुद्राचे पाणी सखल भागात भरले.,mr,18.930847,72.846834,89.78,2025-08-16T12:07:11.338881,2025-08-16T12:34:11.338881,1620,1,18.933362,72.841378,,,1.87,59.5,VERIFIED
rep_0013,usr_046,0.6,"Nagapattinam, Tamil Nadu",east,high-waves,High,तटीय क्षेत्र में 4 मीटर से ऊंची खतरनाक लहरें उठ रही हैं।,hi,10.78169,79.829617,6.28,2025-08-17T23:20:27.908779,2025-08-18T00:34:27.908779,4440,1,10.783536,79.833752,https://example.com/media_12.jpg,d20aaeeb8e4a89a488c6b22097ed7e8a4fd48bfd2030c25fe43ad62db00cbb93,2.23,42.5,VERIFIED
rep_0014,usr_034,0.45,"Digha, West Bengal",east,storm-surge,Low,ঘূর্ণিঝড়ের প্রভাবে জলোচ্ছ্বাসে বাঁধ ভেঙে জল ঢুকছে।,bn,21.599908,87.49557,92.82,2025-08-16T11:14:05.631080,2025-08-16T11:41:05.631080,1620,1,21.600073,87.49624,,,3.09,41.9,VERIFIED
rep_0015,usr_020,0.6,"Porbandar, Gujarat",west,high-waves,High,જેટી પાસે ભારે મોજાના કારણે નુકસાન.,gu,21.687732,69.614409,16.1,2025-08-16T16:07:15.235295,2025-08-16T16:18:15.235295,660,0,,,https://example.com/media_14.jpg,f53ec567d6153203961a4a9797e49f8ccaf0061c0fc458e528923dd3fafab4c2,4.07,75.7,VERIFIED
rep_0016,usr_017,0.6,"Nagapattinam, Tamil Nadu",east,high-waves,Low,Dangerous rough waves exceeding 4 meters breaching sea wall near fishing jetty.,en,10.784728,79.830656,129.97,2025-08-17T15:23:04.199692,2025-08-17T15:44:04.199692,1260,1,10.795368,79.835242,https://example.com/media_15.jpg,a7b4623b2f5a980062257d2f6cff4edfac73c37b52da98283c38723554a9f35f,3.02,77.4,VERIFIED
rep_0017,usr_025,0.2,"Visakhapatnam, Andhra Pradesh",east,storm-surge,High,తుఫాను ప్రభావంతో సముద్రపు పోటు తీవ్రంగా పెరిగింది.,te,17.656204,83.21149,22.02,2025-08-17T19:44:32.511798,2025-08-17T19:52:32.511798,480,0,,,https://example.com/media_16.jpg,64ead538b1fbf57b2a537b2820001bac0ae9866f3322b75e8601fb25afe83813,3.06,33.5,VERIFIED
rep_0018,usr_020,0.6,"Kozhikode, Kerala",west,high-waves,Severe,റിസോർട്ട് ബുക്കിംഗിന് വിളിക്കുക.,ml,11.253626,75.76987,158.12,2025-08-15T17:00:00,2025-08-15T19:38:00,9480,0,,,,,0.88,13.6,REJECTED
rep_0019,usr_002,0.88,"Surat, Gujarat",west,coastal-erosion,High,દરિયાઈ ધોવાણથી કિનારાની જમીન ધસી પડી છે.,gu,21.137526,72.629464,8.84,2025-08-17T20:13:15.159169,2025-08-17T22:07:15.159169,6840,0,,,https://example.com/media_18.jpg,de0551e435e560af692cb3754e938929e55b6f5d7106b18f640168aa4c582a1d,2.21,78.5,VERIFIED
rep_0020,usr_031,0.6,"Digha, West Bengal",east,storm-surge,High,ঘূর্ণিঝড়ের প্রভাবে জলোচ্ছ্বাসে বাঁধ ভেঙে জল ঢুকছে।,bn,21.635823,87.516008,18.19,2025-08-16T07:22:22.737591,2025-08-16T09:16:22.737591,6840,0,,,https://example.com/media_19.jpg,8de056550b818a608c79d2b0a5f6717a82988d187b25ec6c3959c50297cfce3b,3.35,50.3,VERIFIED
rep_0021,usr_024,0.6,"Mumbai, Maharashtra",west,flood,Severe,High tide flooding entered coastal market area.,en,18.95774,72.804512,24.91,2025-08-16T13:18:45.084226,2025-08-16T13:41:45.084226,1380,1,18.965133,72.800175,https://example.com/media_20.jpg,ee41fcb750add2bd56c6ff74370616c0bc3fde4e072131bffc9a43f2e9894431,2.11,60.3,VERIFIED
rep_0022,usr_012,0.2,"Paradip, Odisha",east,high-waves,High,ପୁରୀ ହୋଟେଲ ବୁକିଂ ପାଇଁ ଯୋଗାଯୋଗ କରନ୍ତୁ ।,or,20.308041,86.604489,5.63,2025-08-16T04:00:00,2025-08-16T08:35:00,16500,0,,,https://example.com/media_21.jpg,5765ea1f3a260ce11c8840a749bf51c2041387f275264a1e8a2642ae6f476bbd,0.61,24.6,REJECTED
rep_0023,usr_041,0.88,"Kozhikode, Kerala",west,flood,Low,റിസോർട്ട് ബുക്കിംഗിന് വിളിക്കുക.,ml,11.259329,75.782453,14.18,2025-08-16T21:00:00,2025-08-16T22:04:00,3840,0,,,,,0.92,11.7,REJECTED
rep_0024,usr_003,0.45,"Panaji, Goa",west,storm-surge,Low,Sunny clear weather at beach having fun with friends.,en,15.705792,73.999256,8.31,2025-08-18T23:00:00,2025-08-19T03:25:00,15900,0,,,https://example.com/media_23.jpg,4857c6494ad54a6c0e90b68b042ac1904b364e842111b048b695b65db3a5d024,1.02,12.5,REJECTED
rep_0025,usr_030,0.45,"Nagapattinam, Tamil Nadu",east,high-waves,Severe,"Severe swells observed along the promenade, small boats unable to anchor.",en,10.772295,79.830971,22.72,2025-08-17T23:23:49.156452,2025-08-18T02:54:49.156452,12660,0,,,,,3.34,55.4,VERIFIED
rep_0026,usr_024,0.6,"Alibaug, Maharashtra",west,high-waves,Severe,"समुद्रकिनारी ४ मीटरपेक्षा उंच लाटा उसळत आहेत, मच्छीमारांना धोका.",mr,18.655551,72.853094,10.74,2025-08-16T23:46:19.308805,2025-08-17T00:24:19.308805,2280,1,18.656624,72.854232,https://example.com/media_25.jpg,f5d328e4803718b9b48dc576e2ad4be0d245f07c21f9284a6070ef39ad617046,1.73,50.8,VERIFIED
rep_0027,usr_029,0.88,"Alibaug, Maharashtra",west,high-waves,Severe,Dangerous rough waves exceeding 4 meters breaching sea wall near fishing jetty.,en,18.634966,72.876766,7.02,2025-08-17T04:39:27.089855,2025-08-17T05:09:27.089855,1800,1,18.63506,72.883773,https://example.com/media_26.jpg,4a95d63972a91305eae2174e2aa096e07151cd273c514a2cc1a8cebcbba1e173,2.97,40.8,VERIFIED
rep_0028,usr_040,0.6,"Porbandar, Gujarat",west,high-waves,Low,જેટી પાસે ભારે મોજાના કારણે નુકસાન.,gu,21.675639,69.611753,9.23,2025-08-16T19:06:47.372156,2025-08-16T19:20:47.372156,840,0,,,https://example.com/media_27.jpg,273eef98a2e3a69d429f9ad7728abef47d346d343439efb96e58d8f7b9dce28f,3.43,64.4,VERIFIED
rep_0029,usr_011,0.88,"Porbandar, Gujarat",west,high-waves,High,જેટી પાસે ભારે મોજાના કારણે નુકસાન.,gu,21.657403,69.604607,126.03,2025-08-16T23:17:56.046574,2025-08-17T00:31:56.046574,4440,1,21.661889,69.599643,https://example.com/media_28.jpg,a82be0eff28d54ea2ddce4c0094b79f24105b4d955ff6073ec77eb5cc262ae35,3.97,50.6,VERIFIED
rep_0030,usr_027,0.88,"Alibaug, Maharashtra",west,high-waves,Severe,धक्कादायक लाटांचा जोर वाढला असून जेटीवर पाणी आले आहे.,mr,18.67125,72.890229,10.47,2025-08-17T18:10:37.027512,2025-08-17T18:37:37.027512,1620,1,18.678453,72.894598,,,2.26,39.9,VERIFIED
rep_0031,usr_034,0.45,"Paradip, Odisha",east,flood,Severe,"Observed water activity near coast in Paradip, Odisha.",or,20.313351,86.630632,57.38,2025-08-16T20:00:00,2025-08-16T20:27:00,1620,0,,,https://example.com/media_30.jpg,40971a77ff14c9d65bac9c9c854a2cb2163341dd40c90a1571ff74f73b945802,1.38,29.8,REJECTED
rep_0032,usr_016,0.45,"Mumbai, Maharashtra",west,coastal-erosion,High,"Observed water activity near coast in Mumbai, Maharashtra.",mr,18.95816,72.85384,53.57,2025-08-17T09:00:00,2025-08-17T09:36:00,2160,0,,,,,1.23,34.4,REJECTED
rep_0033,usr_036,0.88,"Porbandar, Gujarat",west,high-waves,Low,દરિયામાં ૪ મીટરથી વધુ ઊંચા મોજા ઉછળી રહ્યા છે.,gu,21.673982,69.608523,23.41,2025-08-16T20:06:20.314546,2025-08-16T22:19:20.314546,7980,0,,,,,3.75,74.9,VERIFIED
rep_0034,usr_024,0.6,"Digha, West Bengal",east,storm-surge,Severe,चक्रवाती हवाओं के साथ समुद्र में भारी जल स्तर वृद्धि।,hi,21.613414,87.53108,21.18,2025-08-16T02:12:17.930535,2025-08-16T02:41:17.930535,1740,0,,,https://example.com/media_33.jpg,ba4f0e8a569ffe6e1d0be2de7d4c058211beda7d4572bbdd22ee31de987c4db7,2.36,39.7,VERIFIED
rep_0035,usr_004,0.6,"Mumbai, Maharashtra",west,flood,Low,बीच रिसॉर्ट बुकिंगसाठी आजच कॉल करा.,mr,18.919926,72.812682,115.97,2025-08-18T00:00:00,2025-08-18T02:59:00,10740,0,,,https://example.com/media_34.jpg,7c1cdbd6984809e5aea8398205c52494f2b79d35c555ec8871da6131c1094dfb,1.17,12.0,REJECTED
rep_0036,usr_014,0.6,"Digha, West Bengal",east,storm-surge,Moderate,ঘূর্ণিঝড়ের প্রভাবে জলোচ্ছ্বাসে বাঁধ ভেঙে জল ঢুকছে।,bn,21.633208,87.486572,21.86,2025-08-16T10:32:46.554163,2025-08-16T10:40:46.554163,480,1,21.637012,87.487612,https://example.com/media_35.jpg,35faf7e673ad6166e2bb4ac280d2fff550e662a5254a97dc7b28bfa6e0e4b5da,3.08,48.2,VERIFIED
rep_0037,usr_001,0.45,"Mumbai, Maharashtra",west,flood,Low,उधाणाचे पाणी गावातील घरांमध्ये शिरले असून रस्ते पाण्याखाली गेले आहेत.,mr,18.923381,72.826116,85.63,2025-08-16T19:46:06.651705,2025-08-16T20:16:06.651705,1800,1,18.922999,72.821134,,,1.9,47.4,VERIFIED
rep_0038,usr_044,0.45,"Alibaug, Maharashtra",west,flood,High,समुद्राचे पाणी सखल भागात भरले.,mr,18.65925,72.896956,14.79,2025-08-17T08:26:14.360200,2025-08-17T13:24:14.360200,17880,1,18.660321,72.889496,https://example.com/media_37.jpg,b7c155e22f14d2bf358ac60e2da229165ba511c143083088a6541b755d0f04ad,1.99,42.4,VERIFIED
rep_0039,usr_025,0.2,"Kochi, Kerala",west,high-waves,Moderate,റിസോർട്ട് ബുക്കിംഗിന് വിളിക്കുക.,ml,9.924936,76.263789,140.21,2025-08-16T18:00:00,2025-08-16T22:36:00,16560,0,,,,,1.22,13.1,REJECTED
rep_0040,usr_026,0.6,"Visakhapatnam, Andhra Pradesh",east,coastal-erosion,High,Sunny clear weather at beach having fun with friends.,en,17.669719,83.218133,7.01,2025-08-16T23:00:00,2025-08-16T23:42:00,2520,0,,,,,0.68,19.3,REJECTED
rep_0041,usr_031,0.6,"Kakinada, Andhra Pradesh",east,tsunami,Low,వాతావరణం చాలా ప్రశాంతంగా ఉంది.,te,16.994582,82.258109,14.12,2025-08-16T13:00:00,2025-08-16T13:24:00,1440,0,,,,,0.45,20.6,REJECTED
rep_0042,usr_042,0.45,"Mumbai, Maharashtra",west,flood,Severe,उधाणाचे पाणी गावातील घरांमध्ये शिरले असून रस्ते पाण्याखाली गेले आहेत.,mr,18.932068,72.816724,10.51,2025-08-17T00:09:55.739773,2025-08-17T00:34:55.739773,1500,0,,,https://example.com/media_41.jpg,ca6b8408f1c9b1f66bb6c83df07e5542629e54d92b694025d577a6b476f63487,2.77,65.4,VERIFIED
rep_0043,usr_037,0.45,"Puri, Odisha",east,coastal-erosion,Moderate,"Observed water activity near coast in Puri, Odisha.",or,19.818877,85.794208,54.73,2025-08-17T08:00:00,2025-08-17T08:29:00,1740,0,,,,,1.3,33.1,VERIFIED
rep_0044,usr_026,0.6,"Visakhapatnam, Andhra Pradesh",east,storm-surge,Low,తీరప్రాంత రక్షణ గోడ దెబ్బతింది.,te,17.718678,83.224332,6.07,2025-08-17T20:19:48.543099,2025-08-17T21:54:48.543099,5700,0,,,https://example.com/media_43.jpg,7134af5fb426c18b16d5483351ebc84824b2a48bf331940266410831d2eae137,2.16,64.4,VERIFIED
rep_0045,usr_005,0.6,"Panaji, Goa",west,high-waves,Severe,Sunny clear weather at beach having fun with friends.,en,15.492557,73.825978,154.58,2025-08-16T13:00:00,2025-08-16T15:26:00,8760,0,,,https://example.com/media_44.jpg,4857c6494ad54a6c0e90b68b042ac1904b364e842111b048b695b65db3a5d024,1.21,20.8,REJECTED
rep_0046,usr_013,0.88,"Paradip, Odisha",east,flood,Moderate,ପୁରୀ ହୋଟେଲ ବୁକିଂ ପାଇଁ ଯୋଗାଯୋଗ କରନ୍ତୁ ।,or,20.33446,86.623019,11.41,2025-08-17T22:00:00,2025-08-18T02:43:00,16980,0,,,https://example.com/media_45.jpg,4857c6494ad54a6c0e90b68b042ac1904b364e842111b048b695b65db3a5d024,0.75,14.1,REJECTED
rep_0047,usr_028,0.45,"Alibaug, Maharashtra",west,flood,Low,"Observed water activity near coast in Alibaug, Maharashtra.",en,18.646425,72.887929,57.14,2025-08-15T10:00:00,2025-08-15T10:54:00,3240,0,,,,,1.41,29.4,VERIFIED
rep_0048,usr_047,0.88,"Visakhapatnam, Andhra Pradesh",east,coastal-erosion,High,తీరప్రాంతంలో తీవ్రమైన కోత.,te,17.674652,83.217875,24.07,2025-08-17T21:18:29.090121,2025-08-17T21:32:29.090121,840,1,17.678438,83.22554,https://example.com/media_47.jpg,cbf85640165498233a52866b5c1078ffc582e2827e21a4b3676b1190074802c2,1.61,33.5,VERIFIED
rep_0049,usr_031,0.6,"Chennai, Tamil Nadu",east,flood,Low,கடல் நீர் ஊருக்குள் புகுந்து குடியிருப்பு பகுதிகளை சூழ்ந்துள்ளது.,ta,13.095237,80.262658,24.7,2025-08-16T01:15:35.756875,2025-08-16T02:44:35.756875,5340,1,13.096546,80.270192,https://example.com/media_48.jpg,5cfd86da32871ab9428251da6aa991a99453d8e15d2effdb437a37b2b35423a1,2.6,50.0,VERIFIED
rep_0050,usr_024,0.6,"Panaji, Goa",west,flood,High,"Observed water activity near coast in Panaji, Goa.",en,15.436006,73.837788,23.99,2025-08-16T02:00:00,2025-08-16T03:50:00,6600,0,,,https://example.com/media_49.jpg,01ff73abcdaddca1acfbeb8a040c924e43dbe69cf5b8bef1a6126e524aa63263,1.78,31.6,VERIFIED
rep_0051,usr_011,0.88,"Chennai, Tamil Nadu",east,flood,Severe,கடல் நீர் பெருக்கெடுத்து வீடுகளுக்குள் புகுந்தது.,ta,13.043903,80.300275,7.05,2025-08-15T21:13:41.910248,2025-08-15T23:38:41.910248,8700,1,13.039672,80.29515,https://example.com/media_50.jpg,f349807dc4198a545504d52b1194979421e4025e1749817783a6f2d84a5b0c28,3.91,52.9,VERIFIED
rep_0052,usr_048,0.45,"Surat, Gujarat",west,flood,Moderate,ભરતીના પાણીથી રસ્તાઓ જળબંબાકાર.,gu,21.145137,72.642728,21.49,2025-08-17T22:54:27.890313,2025-08-17T23:11:27.890313,1020,0,,,https://example.com/media_51.jpg,1264043e2c3d9660ddcb30eec10aeb41d264fd26acca8498fb7b0654a62813f7,2.41,53.2,VERIFIED
rep_0053,usr_035,0.45,"Digha, West Bengal",east,storm-surge,Severe,প্রচণ্ড জলোচ্ছ্বাস শুরু হয়েছে।,bn,21.623775,87.535449,13.63,2025-08-16T02:47:47.867661,2025-08-16T02:59:47.867661,720,1,21.614996,87.53405,https://example.com/media_52.jpg,d887daf255bf90382df47fa16e9d4b467a5f11c9b7900c862dfabaac43c19ce9,2.52,55.0,VERIFIED
rep_0054,usr_022,0.88,"Surat, Gujarat",west,flood,Low,હોટેલ અને બીચ ટૂર માટે સંપર્ક કરો.,gu,21.119736,72.642591,11.02,2025-08-18T06:00:00,2025-08-18T09:44:00,13440,0,,,https://example.com/media_53.jpg,80ccb650c63c8548d5848bd8346963ce3e3a5d4e41ca5452bb7fbecfffea6f2a,0.46,17.0,REJECTED
rep_0055,usr_019,0.2,"Mumbai, Maharashtra",west,high-waves,Low,धक्कादायक लाटांचा जोर वाढला असून जेटीवर पाणी आले आहे.,mr,18.931973,72.828025,129.9,2025-08-17T03:03:40.338796,2025-08-17T03:16:40.338796,780,1,18.935931,72.830649,https://example.com/media_54.jpg,9e2cb2c472e5c3f4773424ab3f498ce9e52ac4bff852e38d5fb11a77569c8b01,2.13,59.5,VERIFIED
rep_0056,usr_046,0.6,"Chennai, Tamil Nadu",east,storm-surge,Low,चक्रवाती हवाओं के साथ समुद्र में भारी जल स्तर वृद्धि।,hi,13.087887,80.286835,9.62,2025-08-16T01:39:01.927939,2025-08-16T01:48:01.927939,540,1,13.08418,80.284194,https://example.com/media_55.jpg,196efe33cc5c769f9e9e696279dbeb7adde4b417473a5ff9f5e11cfd8931e513,3.47,57.0,VERIFIED
rep_0057,usr_020,0.6,"Kozhikode, Kerala",west,tsunami,Moderate,റിസോർട്ട് ബുക്കിംഗിന് വിളിക്കുക.,ml,11.258202,75.774326,77.87,2025-08-17T23:00:00,2025-08-18T00:38:00,5880,0,,,https://example.com/media_56.jpg,4857c6494ad54a6c0e90b68b042ac1904b364e842111b048b695b65db3a5d024,0.63,20.8,REJECTED
rep_0058,usr_049,0.6,"Mangalore, Karnataka",west,tsunami,Severe,Sunny clear weather at beach having fun with friends.,en,12.90749,74.860621,47.75,2025-08-18T23:00:00,2025-08-18T23:23:00,1380,0,,,https://example.com/media_57.jpg,4857c6494ad54a6c0e90b68b042ac1904b364e842111b048b695b65db3a5d024,0.63,21.3,REJECTED
rep_0059,usr_049,0.6,"Digha, West Bengal",east,storm-surge,Severe,ঘূর্ণিঝড়ের প্রভাবে জলোচ্ছ্বাসে বাঁধ ভেঙে জল ঢুকছে।,bn,21.607964,87.523302,5.09,2025-08-16T13:34:34.660353,2025-08-16T13:51:34.660353,1020,1,21.603537,87.518078,,,3.32,44.3,VERIFIED
rep_0060,usr_017,0.6,"Kochi, Kerala",west,high-waves,Low,ബീച്ചിൽ നല്ല കാലാവസ്ഥ.,ml,10.199296,76.563123,143.76,2025-08-16T09:00:00,2025-08-16T10:43:00,6180,1,10.294857,76.726322,https://example.com/media_59.jpg,0d4913c94c48e3f64838406df969adb695ba1b273b2996b6715006a90ae38ce8,0.97,24.6,REJECTED
rep_0061,usr_028,0.45,"Nagapattinam, Tamil Nadu",east,high-waves,Low,மீன்பிடி தளத்தில் அலைகளின் சீற்றம் அதிகம்.,ta,10.773255,79.794528,22.49,2025-08-18T04:08:39.029436,2025-08-18T04:15:39.029436,420,0,,,https://example.com/media_60.jpg,d4bc4c864b11facc82fd2bc7333c2237610580a9b8acd7bee9113556f7bfdb65,1.71,66.1,VERIFIED
rep_0062,usr_033,0.6,"Paradip, Odisha",east,coastal-erosion,High,ଆଜି ପାଗ ଖୁବ୍ ଭଲ ଅଛି ।,or,20.574748,86.73304,73.28,2025-08-17T20:00:00,2025-08-17T21:56:00,6960,0,,,,,0.68,18.2,REJECTED
rep_0063,usr_047,0.88,"Alibaug, Maharashtra",west,high-waves,High,धक्कादायक लाटांचा जोर वाढला असून जेटीवर पाणी आले आहे.,mr,18.691137,72.886789,76.65,2025-08-17T04:30:28.255105,2025-08-17T09:59:28.255105,19740,0,,,https://example.com/media_62.jpg,e449decb32d910733a4a60f139a32e1415660dca25ad187086d5e10ff818b323,1.87,31.1,VERIFIED
rep_0064,usr_023,0.88,"Porbandar, Gujarat",west,high-waves,Moderate,तटीय क्षेत्र में 4 मीटर से ऊंची खतरनाक लहरें उठ रही हैं।,hi,21.647445,69.617405,141.99,2025-08-16T16:26:40.201415,2025-08-16T16:43:40.201415,1020,1,21.646349,69.611804,https://example.com/media_63.jpg,eaedf4eb7b6f7484dd5af7cb26cf242db24870eded04d28d8723e049258fc9be,3.52,70.7,VERIFIED
rep_0065,usr_008,0.6,"Chennai, Tamil Nadu",east,coastal-erosion,High,சுற்றுலா படகு சவாரி மற்றும் விடுதி முன்பதிவு.,ta,13.212166,80.404597,9.5,2025-08-16T12:00:00,2025-08-16T14:39:00,9540,0,,,https://example.com/media_64.jpg,62fc09ac1faea7fa2acaad250c6c28a011e0d383a89725a26723578c79e6c2f0,0.77,13.4,REJECTED
rep_0066,usr_009,0.45,"Porbandar, Gujarat",west,storm-surge,Moderate,Sunny clear weather at beach having fun with friends.,en,21.988918,69.850286,58.19,2025-08-15T21:00:00,2025-08-16T00:02:00,10920,1,22.133806,69.9512,,,0.57,12.2,REJECTED
rep_0067,usr_018,0.45,"Surat, Gujarat",west,flood,Low,ભરતીના પાણીથી રસ્તાઓ જળબંબાકાર.,gu,21.126714,72.641989,8.89,2025-08-17T19:26:25.825966,2025-08-17T19:54:25.825966,1680,1,21.130355,72.639166,,,2.62,50.1,VERIFIED
rep_0068,usr_009,0.45,"Mumbai, Maharashtra",west,coastal-erosion,Low,किनारी फिरायला छान वातावरण आहे.,mr,18.922842,72.831202,46.93,2025-08-17T01:00:00,2025-08-17T02:12:00,4320,0,,,https://example.com/media_67.jpg,18a01b2a8b7148b99aa0fa4a229aba6f4355f324e0abcde9f8d2bab63fb03cf9,0.72,14.7,REJECTED
rep_0069,usr_017,0.6,"Mangalore, Karnataka",west,storm-surge,High,Hotel discount booking promotion near seaside.,en,13.067666,75.065433,154.4,2025-08-15T19:00:00,2025-08-15T22:43:00,13380,1,13.136986,75.253288,,,1.21,21.0,REJECTED
rep_0070,usr_024,0.6,"Chennai, Tamil Nadu",east,flood,Severe,கடல் நீர் பெருக்கெடுத்து வீடுகளுக்குள் புகுந்தது.,ta,13.05079,80.29931,24.82,2025-08-15T22:23:18.700913,2025-08-15T22:31:18.700913,480,0,,,https://example.com/media_69.jpg,33a51e98bfd7c2fcb6074138c8fde8e1af544768fe68da60bcfc87e7fece2911,2.59,40.1,VERIFIED
rep_0071,usr_045,0.6,"Mumbai, Maharashtra",west,flood,Low,उधाणाचे पाणी गावातील घरांमध्ये शिरले असून रस्ते पाण्याखाली गेले आहेत.,mr,18.964426,72.81947,54.36,2025-08-16T22:43:28.212454,2025-08-17T01:12:28.212454,8940,1,18.967913,72.821985,https://example.com/media_70.jpg,935101c59d52d244cf7e051d8d0c2c6538907edddd31b103acb10edd12e720cd,1.79,56.0,VERIFIED
rep_0072,usr_042,0.45,"Visakhapatnam, Andhra Pradesh",east,storm-surge,Moderate,తీరప్రాంత రక్షణ గోడ దెబ్బతింది.,te,17.706644,83.187159,24.94,2025-08-17T20:38:41.798630,2025-08-17T20:58:41.798630,1200,0,,,https://example.com/media_71.jpg,c42eb8182ff80ca724c524a08b476dec6f34441606814faa85bf4d047b64a309,2.97,46.3,VERIFIED
rep_0073,usr_001,0.45,"Chennai, Tamil Nadu",east,flood,High,கடல் நீர் ஊருக்குள் புகுந்து குடியிருப்பு பகுதிகளை சூழ்ந்துள்ளது.,ta,13.06188,80.268742,126.91,2025-08-15T18:01:39.148307,2025-08-16T01:43:39.148307,27720,1,13.062605,80.273058,https://example.com/media_72.jpg,303470814dd30bad1fafbb5cf651193db742638b76eb00ca563eed850bc5abb7,3.21,54.1,VERIFIED
rep_0074,usr_012,0.2,"Mumbai, Maharashtra",west,flood,Severe,समुद्राचे पाणी सखल भागात भरले.,mr,18.925247,72.824532,67.66,2025-08-16T12:02:40.070606,2025-08-16T17:10:40.070606,18480,0,,,https://example.com/media_73.jpg,cd0e851e652af9210ed9f736457547a4b8d842b5d086916959b48b813a72cb50,1.76,63.5,VERIFIED
